PLAYER NAME,TEAM,POS,BYE,FP RANK,SITE RANK,LANDMINE,ADP
Oronde Gadsden II,LAC,TE,,,354,,170.3
Tyrone Tracy Jr.,NYG,RB,,,355,,170.3
Jacob Saylors,DET,RB,,,356,,170.3
George Holani,SEA,RB,,,357,,170.3
Sean Tucker,TB,RB,,,358,,170.3
Darnell Mooney,NYG,WR,,,359,,170.3
LeQuint Allen Jr.,JAX,RB,,,360,,170.3
Pat Bryant,DEN,WR,,,361,,170.3
Jordan James,SF,RB,,,362,,170.4
Darren Waller,CAR,TE,,,363,,170.4
Antonio Williams,WSH,WR,,,364,,170.4
Isaiah Davis,NYJ,RB,,,365,,170.4
Greg Dulcich,MIA,TE,,,366,,170.4
DeMario Douglas,NE,WR,,,367,,170.4
Tampa Bay Buccaneers,TB,DST,,,368,,170.5
Malik Davis,DAL,RB,14,200,369,7.0,170.5
Jalen Tolbert,MIA,WR,,,370,,170.5
New Orleans Saints,NO,DST,,,371,,170.5
Kayshon Boutte,HOU,WR,8,158,372,4.8,170.5
Xavier Hutchinson,HOU,WR,,,373,,170.5
Brashard Smith,KC,RB,,,374,,170.5
Samaje Perine,CIN,RB,,,375,,170.6
Chris Bell,MIA,WR,6,209,376,5.4,170.6
Jahan Dotson,ATL,WR,,,377,,170.6
Gunnar Helm,TEN,TE,9,187,378,5.9,170.6
Zachariah Branch,ATL,WR,11,215,379,6.1,170.7
Jaylen Wright,MIA,RB,6,211,380,7.9,170.7
Ollie Gordon II,MIA,RB,,,381,,170.7
Chris Brooks,GB,RB,,,382,,170.7
Xavier Legette,CAR,WR,,,383,,170.7
Ty Johnson,BUF,RB,,,384,,170.8
Caleb Douglas,MIA,WR,6,184,385,7.1,170.8
Ray Davis,BUF,RB,7,176,386,5.6,170.9
Dontayvion Wicks,PHI,WR,10,172,387,5.6,170.9
Ryan Flournoy,DAL,WR,14,171,388,5.4,170.9
Malachi Fields,NYG,WR,8,196,389,6.4,171.0
Kimani Vidal,LAC,RB,7,178,390,5.7,171.0
Braelon Allen,NYJ,RB,13,175,391,6.1,171.0
Omar Cooper Jr.,NYJ,WR,13,163,392,3.5,171.0
Jauan Jennings,MIN,WR,6,162,393,4.9,171.1
Tre' Harris,LAC,WR,7,170,394,5.5,171.1
Adonai Mitchell,NYJ,WR,13,167,395,5.9,171.2
Jalen Nailor,LV,WR,13,173,396,5.8,171.2
Germie Bernard,PIT,WR,9,219,397,7.3,171.2
Rashod Bateman,BAL,WR,13,205,398,7.5,171.3
Devaughn Vele,NO,WR,8,221,399,9.3,171.5
Jaylin Noel,HOU,WR,8,183,400,7.3,171.5
